английский
немецкий

грамотный | грамотность
внимательный, сосредотачиваться, сосредоточенность | внимательность 
ответственный | ответственность
менеджмент, менеджер, управление, руководить, глава, принимать решения, умею убеждать | лидерские качества, умение убеждать
заводить друзей, общаться, общительность, общительный, излагать мысли | коммуникабельность, дружелюбность
дисциплина, дисциплинирован | организованность
командная работа | умение работать в команде
вовремя, заранее, аккуратность | пунктуальность, исполнительность
компромисс, уступить, выполнять указания, критика | гибкость
сложные задачи | креативность
аналитика, аналитический | критическое мышление

изучать, узнавать, учиться, хорошая память, саморазвитие, обучаюсь | обучаемость
выдержка, выдерживать, терпеть | стрессоустойчивость

1С
Битрикс
математика, статистика, алгебра, комбинаторика, линейное программирование | высшая математика
обработка данных, анализ данных | Машинное обучение, Data Sciense
майкрософт офис, майкрософт, ворд, паблишер, эксель | Microsoft Office, Excel, Word 


базы данных | SQL, MySQL
Apache | Big data, Apache Spark, Hadoop
гит, Git, GitLab, GitHub | git

